set,cost,key,traits,health,attackDamage,damagePerSecond,attackRange,attackSpeed,armor,magicalResistance,skill.startingMana,skill.skillMana,skill.stats
1,"[1, 3, 5]",Kassadin,"['Void', 'Sorcerer']","[550, 990, 1782.0000000000002]","[40, 72, 130]","[22, 40, 72]",1,0.55,35,20,0,0,"[25, 50, 75]"
1,"[3, 5, 7]",Katarina,"['Imperial', 'Assassin']","[450, 810, 1458]","[65, 117, 211]","[42, 76, 137]",1,0.65,20,20,0,85,"[45, 70, 95]"
1,"[5, 7, 9]",Kayle,"['Noble', 'Knight']","[750, 1350, 2430]","[70, 126, 227]","[70, 126, 227]",3,1.0,40,20,50,125,"[500, 800, 1100]"
1,"[3, 5, 7]",Kennen,"['Ninja', 'Yordle', 'Elementalist']","[550, 990, 1782.0000000000002]","[65, 117, 211]","[42, 76, 137]",2,0.65,20,20,50,150,"[225, 450, 675]"
1,"[1, 3, 5]",Khazix,"['Void', 'Assassin']","[500, 900, 1620]","[55, 99, 178]","[33, 59, 107]",1,0.6,20,20,0,65,"[150, 250, 350]"
1,"[4, 6, 8]",Kindred,"['Phantom', 'Ranger']","[600, 1080, 1944.0000000000002]","[20, 36, 65]","[14, 25, 46]",3,0.7,20,20,50,35,"[3, 4, 5]"
1,"[4, 6, 8]",Leona,"['Noble', 'Guardian']","[800, 1440, 2592]","[45, 81, 146]","[25, 45, 80]",1,0.55,100,20,50,100,"[175, 250, 325]"
1,"[2, 4, 6]",Lissandra,"['Glacial', 'Elementalist']","[500, 900, 1620]","[40, 72, 130]","[24, 43, 78]",2,0.6,20,20,0,95,"[175, 325, 475]"
1,"[2, 4, 6]",Lucian,"['Noble', 'Gunslinger']","[600, 1080, 1944.0000000000002]","[65, 117, 211]","[42, 76, 137]",3,0.65,25,20,0,35,"[125, 250, 375]"
1,"[2, 4, 6]",Lulu,"['Yordle', 'Sorcerer']","[500, 900, 1620]","[50, 90, 162]","[30, 54, 97]",2,0.6,20,20,50,150,"[300, 400, 500]"
1,"[5, 7, 9]",MissFortune,"['Pirate', 'Gunslinger']","[750, 1350, 2430]","[75, 135, 243]","[71, 128, 231]",3,0.95,20,20,0,150,"[1300, 2000, 2700]"
1,"[1, 3, 5]",Mordekaiser,"['Phantom', 'Knight']","[550, 990, 1782.0000000000002]","[50, 90, 162]","[25, 45, 81]",1,0.5,40,20,50,150,"[250, 500, 750]"
1,"[3, 5, 7]",Morgana,"['Demon', 'Sorcerer']","[650, 1170, 2106]","[50, 90, 162]","[30, 54, 97]",2,0.6,30,20,50,150,"[175, 300, 425]"
1,"[1, 3, 5]",Nidalee,"['Wild', 'Shapeshifter']","[500, 900, 1620]","[50, 90, 162]","[33, 59, 105]",3,0.65,20,20,0,85,"[150, 375, 600]"
1,"[5, 7, 9]",Pantheon,"['Dragon', 'Guardian']","[850, 1530, 2754]","[75, 135, 243]","[56, 101, 182]",1,0.75,70,20,100,150,"[2, 2, 2]"
1,"[3, 5, 7]",Poppy,"['Yordle', 'Knight']","[700, 1260, 2268]","[50, 90, 162]","[25, 45, 81]",1,0.5,40,20,0,75,"[300, 500, 700]"
1,"[2, 4, 6]",Pyke,"['Pirate', 'Assassin']","[600, 1080, 1944.0000000000002]","[60, 108, 194]","[36, 65, 116]",1,0.6,25,20,50,125,"[150, 200, 250]"
1,"[2, 4, 6]",RekSai,"['Void', 'Brawler']","[650, 1170, 2106]","[50, 90, 162]","[30, 54, 97]",1,0.6,20,20,0,75,"[150, 300, 450]"
1,"[3, 5, 7]",Rengar,"['Wild', 'Assassin']","[550, 990, 1782.0000000000002]","[70, 126, 227]","[42, 76, 136]",1,0.6,20,20,0,75,"[200, 300, 400]"
1,"[4, 6, 8]",Sejuani,"['Glacial', 'Knight']","[800, 1440, 2592]","[45, 81, 146]","[25, 45, 80]",1,0.55,40,20,50,150,"[100, 175, 250]"
1,"[2, 4, 6]",Shen,"['Ninja', 'Blademaster']","[700, 1260, 2268]","[65, 117, 211]","[46, 82, 148]",1,0.7,30,20,100,150,"[3, 4, 5]"
1,"[3, 5, 7]",Shyvana,"['Dragon', 'Shapeshifter']","[650, 1170, 2106]","[50, 90, 162]","[35, 63, 113]",1,0.7,30,20,0,85,"[200, 300, 400]"
1,"[5, 7, 9]",Swain,"['Demon', 'Imperial', 'Shapeshifter']","[850, 1530, 2754]","[65, 117, 211]","[42, 76, 137]",2,0.65,25,20,0,100,"[40, 80, 120]"
1,"[1, 3, 5]",Tristana,"['Yordle', 'Gunslinger']","[500, 900, 1620]","[50, 90, 162]","[33, 59, 105]",4,0.65,20,20,0,50,"[70, 110, 150]"
1,"[2, 4, 6]",TwistedFate,"['Pirate', 'Sorcerer']","[500, 900, 1620]","[40, 72, 130]","[28, 50, 91]",3,0.7,20,20,0,50,"[150, 250, 350]"
1,"[2, 4, 6]",Varus,"['Demon', 'Ranger']","[550, 990, 1782.0000000000002]","[60, 108, 194]","[42, 76, 136]",4,0.7,25,20,0,75,"[300, 550, 800]"
1,"[1, 3, 5]",Vayne,"['Noble', 'Ranger']","[550, 990, 1782.0000000000002]","[40, 72, 130]","[28, 50, 91]",3,0.7,25,20,0,0,"[8, 12, 16]"
1,"[3, 5, 7]",Veigar,"['Yordle', 'Sorcerer']","[500, 900, 1620]","[50, 90, 162]","[28, 50, 89]",3,0.55,20,20,0,75,"[350, 650, 950]"
1,"[3, 5, 7]",Vi,"['Hextech', 'Brawler']","[700, 1260, 2268]","[60, 108, 194]","[39, 70, 126]",1,0.65,25,20,75,150,"[300, 500, 700]"
1,"[3, 5, 7]",Volibear,"['Glacial', 'Brawler']","[750, 1350, 2430]","[70, 126, 227]","[46, 82, 148]",1,0.65,30,20,0,75,"[2, 3, 4]"
1,"[1, 3, 5]",Warwick,"['Wild', 'Brawler']","[650, 1170, 2106]","[50, 90, 162]","[30, 54, 97]",1,0.6,30,20,50,150,"[150, 225, 300]"
1,"[5, 7, 9]",Yasuo,"['Exile', 'Blademaster']","[750, 1350, 2430]","[75, 135, 243]","[75, 135, 243]",1,1.0,35,20,0,25,"[150, 350, 550]"
1,"[2, 4, 6]",Zed,"['Ninja', 'Assassin']","[550, 990, 1782.0000000000002]","[65, 117, 211]","[46, 82, 148]",1,0.7,25,20,0,75,"[200, 350, 500]"
2,"[3, 5, 7]",Aatrox,"['Light', 'Blademaster']","[800, 1440, 2592]","[65, 117, 211]","[46, 82, 148]",1,0.7,35,20,0,70,"[300, 600, 1200]"
2,"[5, 7, 9]",Amumu,"['Inferno', 'Warden']","[900, 1620, 2916]","[55, 99, 178]","[41, 74, 134]",1,0.75,60,20,75,150,"[100, 200, 1337]"
2,"[4, 6, 8]",Annie,"['Inferno', 'Summoner']","[700, 1260, 2268]","[45, 81, 146]","[31, 57, 102]",3,0.7,20,20,0,75,"[100, 200, 300]"
2,"[4, 6, 8]",Ashe,"['Crystal', 'Ranger']","[550, 990, 1782.0000000000002]","[60, 108, 194]","[48, 86, 155]",4,0.8,20,20,0,35,"[50, 75, 100]"
2,"[3, 5, 7]",Azir,"['Desert', 'Summoner']","[600, 1080, 1944.0000000000002]","[55, 99, 178]","[44, 79, 142]",3,0.8,20,20,50,100,"[150, 275, 450]"
2,"[4, 6, 8]",Brand,"['Inferno', 'Mage']","[700, 1260, 2268]","[55, 99, 178]","[39, 69, 125]",3,0.7,25,20,0,80,"[225, 300, 600]"
2,"[2, 4, 6]",Braum,"['Glacial', 'Warden']","[750, 1350, 2430]","[40, 72, 130]","[24, 43, 78]",1,0.6,60,20,0,65,"[80, 85, 90]"
2,"[1, 3, 5]",Diana,"['Inferno', 'Assassin']","[550, 990, 1782.0000000000002]","[50, 90, 162]","[35, 63, 113]",1,0.7,20,20,0,100,"[3, 4, 6]"
2,"[3, 5, 7]",DrMundo,"['Poison', 'Berserker']","[800, 1440, 2592]","[60, 108, 194]","[36, 65, 116]",1,0.6,35,20,75,125,"[50, 100, 200]"
2,"[3, 5, 7]",Ezreal,"['Glacial', 'Ranger']","[650, 1170, 2106]","[65, 117, 211]","[46, 82, 148]",3,0.7,20,20,0,30,"[250, 450, 900]"
2,"[1, 3, 5]",Ivern,"['Forest', 'Druid']","[600, 1080, 1944.0000000000002]","[50, 90, 162]","[30, 54, 97]",2,0.6,25,20,50,100,"[200, 300, 400]"
2,"[4, 6, 8]",Janna,"['Wind', 'Mystic']","[600, 1080, 1944.0000000000002]","[45, 81, 146]","[31, 57, 102]",3,0.7,20,20,50,125,"[25, 35, 200]"
2,"[2, 4, 6]",Jax,"['Light', 'Berserker']","[700, 1260, 2268]","[55, 99, 178]","[44, 79, 142]",1,0.8,30,20,50,125,"[150, 300, 550]"
2,"[3, 5, 7]",Karma,"['Lunar', 'Mystic']","[600, 1080, 1944.0000000000002]","[50, 90, 162]","[35, 63, 113]",3,0.7,20,20,75,100,"[250, 400, 800]"
2,"[4, 6, 8]",Khazix,"['Desert', 'Assassin']","[750, 1350, 2430]","[75, 135, 243]","[60, 108, 194]",1,0.8,25,20,0,40,"[100, 200, 500]"
2,"[3, 5, 7]",Kindred,"['Inferno', 'Shadow', 'Ranger']","[650, 1170, 2106]","[55, 99, 178]","[41, 74, 134]",3,0.75,20,20,0,35,"[150, 325, 650]"
2,"[1, 3, 5]",KogMaw,"['Poison', 'Predator']","[500, 900, 1620]","[45, 81, 146]","[31, 57, 102]",4,0.7,20,20,0,40,"[150, 300, 500]"
2,"[2, 4, 6]",Leblanc,"['Forest', 'Assassin', 'Mage']","[550, 990, 1782.0000000000002]","[55, 99, 178]","[39, 69, 125]",2,0.7,20,20,50,80,"[225, 475, 800]"
2,"[1, 3, 5]",Leona,"['Lunar', 'Warden']","[650, 1170, 2106]","[50, 90, 162]","[28, 50, 89]",1,0.55,40,20,50,100,"[40, 80, 120]"
2,"[4, 6, 8]",Lucian,"['Light', 'Soulbound']","[550, 990, 1782.0000000000002]","[65, 117, 211]","[52, 94, 169]",3,0.8,25,20,0,50,"[50, 50, 50]"
2,"[7, 9, 11]",Lux,"['Crystal', 'Electric', 'Forest', 'Glacial', 'Inferno', 'Light', 'Ocean', 'Shadow', 'Steel', 'Wind', 'Avatar']","[850, 1530, 2754]","[65, 117, 211]","[55, 99, 179]",4,0.85,25,20,0,80,"[550, 900, 99, 999]"
2,"[4, 6, 8]",Malphite,"['Mountain', 'Warden']","[850, 1530, 2754]","[60, 108, 194]","[33, 59, 107]",1,0.55,50,20,50,150,"[150, 300, 1000]"
2,"[2, 4, 6]",Malzahar,"['Shadow', 'Summoner']","[550, 990, 1782.0000000000002]","[40, 72, 130]","[26, 47, 85]",3,0.65,20,20,75,125,"[2, 3, 4]"
2,"[1, 3, 5]",Maokai,"['Forest', 'Druid']","[650, 1170, 2106]","[55, 99, 178]","[28, 50, 89]",1,0.5,35,20,0,0,"[100, 150, 200]"
2,"[5, 7, 9]",MasterYi,"['Shadow', 'Blademaster', 'Mystic']","[850, 1530, 2754]","[70, 126, 227]","[77, 139, 250]",1,1.1,30,20,100,150,"[40, 80, 500]"
2,"[5, 7, 9]",Nami,"['Ocean', 'Mystic']","[750, 1350, 2430]","[50, 90, 162]","[38, 68, 122]",4,0.75,25,20,50,125,"[100, 200, 300]"
2,"[1, 3, 5]",Nasus,"['Light', 'Warden']","[650, 1170, 2106]","[50, 90, 162]","[28, 50, 89]",1,0.55,40,20,0,100,"[250, 400, 550]"
2,"[3, 5, 7]",Nautilus,"['Ocean', 'Warden']","[850, 1530, 2754]","[55, 99, 178]","[33, 59, 107]",1,0.6,40,20,50,125,"[3, 4, 6]"
2,"[2, 4, 6]",Neeko,"['Forest', 'Druid']","[500, 900, 1620]","[45, 81, 146]","[31, 57, 102]",3,0.7,20,20,0,60,"[100, 200, 350]"
2,"[3, 5, 7]",Nocturne,"['Steel', 'Assassin']","[650, 1170, 2106]","[60, 108, 194]","[48, 86, 155]",1,0.8,25,20,0,0,"[50, 60, 70]"
2,"[4, 6, 8]",Olaf,"['Glacial', 'Berserker']","[850, 1530, 2754]","[70, 126, 227]","[56, 101, 182]",1,0.8,35,20,0,90,"[125, 150, 450]"
2,"[1, 3, 5]",Ornn,"['Electric', 'Warden']","[650, 1170, 2106]","[50, 90, 162]","[28, 50, 89]",1,0.55,40,20,0,75,"[125, 250, 450]"
2,"[3, 5, 7]",Qiyana,"['Inferno', 'Mountain', 'Ocean', 'Wind', 'Assassin']","[650, 1170, 2106]","[65, 117, 211]","[46, 82, 148]",1,0.7,25,20,50,100,"[300, 500, 900]"
2,"[2, 4, 6]",RekSai,"['Steel', 'Predator']","[650, 1170, 2106]","[60, 108, 194]","[42, 76, 136]",1,0.7,35,20,0,75,"[250, 550, 1000]"
2,"[1, 3, 5]",Renekton,"['Desert', 'Berserker']","[600, 1080, 1944.0000000000002]","[60, 108, 194]","[36, 65, 116]",1,0.6,35,20,0,100,"[150, 275, 475]"
2,"[2, 4, 6]",Senna,"['Shadow', 'Soulbound']","[450, 810, 1458]","[45, 81, 146]","[31, 57, 102]",4,0.7,25,20,50,75,"[50, 100, 150]"
2,"[5, 7, 9]",Singed,"['Poison', 'Alchemist']","[950, 1710, 3078]","[0, 0, 0]","[0, 0, 0]",1,0.001,50,20,0,0,"[225, 300, 2, 0]"
2,"[3, 5, 7]",Sion,"['Shadow', 'Berserker']","[850, 1530, 2754]","[65, 117, 211]","[42, 76, 137]",1,0.65,35,20,75,125,"[200, 350, 700]"
2,"[3, 5, 7]",Sivir,"['Desert', 'Blademaster']","[600, 1080, 1944.0000000000002]","[55, 99, 178]","[39, 69, 125]",3,0.7,25,20,0,65,"[5, 7, 9]"
2,"[2, 4, 6]",Skarner,"['Crystal', 'Predator']","[650, 1170, 2106]","[60, 108, 194]","[39, 70, 126]",1,0.65,35,20,0,65,"[150, 450, 750]"
2,"[3, 5, 7]",Soraka,"['Light', 'Mystic']","[600, 1080, 1944.0000000000002]","[40, 72, 130]","[28, 50, 91]",3,0.7,20,20,0,60,"[150, 300, 450]"
2,"[2, 4, 6]",Syndra,"['Ocean', 'Mage']","[500, 900, 1620]","[40, 72, 130]","[28, 50, 91]",3,0.7,20,20,0,65,"[225, 375, 650]"
2,"[1, 3, 5]",Taliyah,"['Mountain', 'Mage']","[500, 900, 1620]","[40, 72, 130]","[26, 47, 85]",3,0.65,20,20,30,80,"[150, 350, 550]"
2,"[5, 7, 9]",Taric,"['Crystal', 'Warden']","[900, 1620, 2916]","[60, 108, 194]","[39, 70, 126]",1,0.65,60,20,50,125,"[2, 3, 4]"
2,"[2, 4, 6]",Thresh,"['Ocean', 'Warden']","[700, 1260, 2268]","[55, 99, 178]","[30, 54, 98]",2,0.55,40,20,50,125,"[250, 400, 600]"
2,"[4, 6, 8]",Twitch,"['Poison', 'Ranger']","[650, 1170, 2106]","[70, 126, 227]","[53, 95, 170]",4,0.75,20,20,0,70,"[130, 160, 300]"
2,"[2, 4, 6]",Varus,"['Inferno', 'Ranger']","[550, 990, 1782.0000000000002]","[60, 108, 194]","[45, 81, 146]",4,0.75,25,20,50,100,"[225, 450, 800]"
2,"[1, 3, 5]",Vayne,"['Light', 'Ranger']","[550, 990, 1782.0000000000002]","[40, 72, 130]","[28, 50, 91]",3,0.7,25,20,0,0,"[10, 13, 16]"
2,"[3, 5, 7]",Veigar,"['Shadow', 'Mage']","[600, 1080, 1944.0000000000002]","[50, 90, 162]","[30, 54, 97]",3,0.6,20,20,0,60,"[325, 650, 975]"
2,"[1, 3, 5]",Vladimir,"['Ocean', 'Mage']","[550, 990, 1782.0000000000002]","[40, 72, 130]","[26, 47, 85]",2,0.65,30,20,0,75,"[200, 325, 500]"
2,"[2, 4, 6]",Volibear,"['Electric', 'Glacial', 'Berserker']","[650, 1170, 2106]","[60, 108, 194]","[42, 76, 136]",1,0.7,35,20,0,75,"[200, 450, 850]"
2,"[1, 3, 5]",Warwick,"['Glacial', 'Predator']","[650, 1170, 2106]","[50, 90, 162]","[30, 54, 97]",1,0.6,30,20,50,125,"[200, 500, 800]"
2,"[2, 4, 6]",Yasuo,"['Wind', 'Blademaster']","[600, 1080, 1944.0000000000002]","[60, 108, 194]","[42, 76, 136]",1,0.7,30,20,0,90,"[4, 5, 6]"
2,"[4, 6, 8]",Yorick,"['Light', 'Summoner']","[850, 1530, 2754]","[65, 117, 211]","[46, 82, 148]",1,0.7,35,20,0,85,"[400, 700, 2, 0]"
2,"[5, 7, 9]",Zed,"['Electric', 'Assassin', 'Summoner']","[850, 1530, 2754]","[70, 126, 227]","[77, 139, 250]",1,1.1,25,20,75,150,"[50, 25, 125]"
2,"[1, 3, 5]",Zyra,"['Inferno', 'Summoner']","[500, 900, 1620]","[40, 72, 130]","[26, 47, 85]",3,0.65,20,20,0,65,"[55, 65, 75]"
3,"[2, 4, 6]",Ahri,"['StarGuardian', 'Sorcerer']","[600, 1080, 1944.0000000000002]","[45, 81, 146]","[34, 61, 110]",3,0.75,20,20,0,60,"[175, 250, 375]"
3,"[2, 4, 6]",Annie,"['MechPilot', 'Sorcerer']","[700, 1260, 2268]","[40, 72, 130]","[26, 47, 85]",2,0.65,40,20,75,150,"[150, 200, 300]"
3,"[3, 5, 7]",Ashe,"['Celestial', 'Sniper']","[600, 1080, 1944.0000000000002]","[60, 108, 194]","[48, 86, 155]",5,0.8,20,20,50,125,"[250, 350, 700]"
3,"[5, 7, 9]",AurelionSol,"['Rebel', 'Starship']","[1100, 1980, 3564.0000000000005]","[10, 18, 32]","[8, 14, 26]",1,0.8,35,20,40,120,"[100, 150, 750]"
3,"[2, 4, 6]",Blitzcrank,"['Chrono', 'Brawler']","[650, 1170, 2106]","[55, 99, 178]","[28, 50, 89]",1,0.5,35,20,125,125,"[200, 350, 850]"
3,"[1, 3, 5]",Caitlyn,"['Chrono', 'Sniper']","[500, 900, 1620]","[45, 81, 146]","[34, 61, 110]",5,0.75,20,20,0,125,"[750, 1500, 2250]"
3,"[4, 6, 8]",Chogath,"['Void', 'Brawler']","[1000, 1800, 3240]","[70, 126, 227]","[42, 76, 136]",1,0.6,20,20,75,150,"[150, 250, 2000]"
3,"[2, 4, 6]",Darius,"['SpacePirate', 'ManaReaver']","[750, 1350, 2430]","[60, 108, 194]","[39, 70, 126]",1,0.65,35,20,0,60,"[400, 500, 750]"
3,"[5, 7, 9]",Ekko,"['Cybernetic', 'Infiltrator']","[850, 1530, 2754]","[60, 108, 194]","[54, 97, 175]",1,0.9,30,20,50,150,"[225, 400, 2000]"
3,"[3, 5, 7]",Ezreal,"['Chrono', 'Blaster']","[600, 1080, 1944.0000000000002]","[60, 108, 194]","[42, 76, 136]",3,0.7,20,20,50,125,"[200, 300, 600]"
3,"[1, 3, 5]",Fiora,"['Cybernetic', 'Blademaster']","[450, 810, 1458]","[45, 81, 146]","[45, 81, 146]",1,1.0,30,20,0,85,"[1, 5, 1, 5, 3]"
3,"[4, 6, 8]",Fizz,"['MechPilot', 'Infiltrator']","[600, 1080, 1944.0000000000002]","[60, 108, 194]","[48, 86, 155]",1,0.8,25,20,80,150,"[350, 500, 2000]"
3,"[5, 7, 9]",Gangplank,"['SpacePirate', 'Demolitionist', 'Mercenary']","[1000, 1800, 3240]","[60, 108, 194]","[60, 108, 194]",1,1.0,30,20,100,175,"[450, 600, 9001]"
3,"[1, 3, 5]",Graves,"['SpacePirate', 'Blaster']","[650, 1170, 2106]","[55, 99, 178]","[30, 54, 98]",1,0.55,35,20,50,80,"[2, 3, 5]"
3,"[4, 6, 8]",Irelia,"['Cybernetic', 'Blademaster', 'ManaReaver']","[800, 1440, 2592]","[70, 126, 227]","[60, 107, 193]",1,0.85,35,20,0,30,"[175, 250, 500]"
3,"[1, 3, 5]",JarvanIV,"['DarkStar', 'Protector']","[650, 1170, 2106]","[50, 90, 162]","[30, 54, 97]",1,0.6,40,20,50,100,"[65, 75, 85]"
3,"[3, 5, 7]",Jayce,"['SpacePirate', 'Vanguard']","[750, 1350, 2430]","[60, 108, 194]","[42, 76, 136]",1,0.7,40,20,0,80,"[450, 600, 1200]"
3,"[4, 6, 8]",Jhin,"['DarkStar', 'Sniper']","[600, 1080, 1944.0000000000002]","[90, 162, 292]","[81, 146, 263]",5,0.9,20,20,0,0,"[244, 344, 4444]"
3,"[4, 6, 8]",Jinx,"['Rebel', 'Blaster']","[600, 1080, 1944.0000000000002]","[70, 126, 227]","[53, 95, 170]",3,0.75,20,20,0,0,"[60, 75, 100]"
3,"[2, 4, 6]",Kaisa,"['Valkyrie', 'Infiltrator']","[550, 990, 1782.0000000000002]","[50, 90, 162]","[38, 68, 122]",2,0.75,20,20,0,60,"[4, 6, 9]"
3,"[3, 5, 7]",Karma,"['DarkStar', 'Mystic']","[600, 1080, 1944.0000000000002]","[50, 90, 162]","[33, 59, 105]",3,0.65,20,20,75,100,"[250, 400, 800]"
3,"[3, 5, 7]",Kassadin,"['Celestial', 'ManaReaver']","[800, 1440, 2592]","[50, 90, 162]","[33, 59, 105]",1,0.65,30,20,40,80,"[250, 400, 800]"
3,"[4, 6, 8]",Kayle,"['Valkyrie', 'Blademaster']","[700, 1260, 2268]","[60, 108, 194]","[48, 86, 155]",3,0.8,25,20,0,70,"[125, 200, 600]"
3,"[1, 3, 5]",KhaZix,"['Void', 'Infiltrator']","[500, 900, 1620]","[50, 90, 162]","[35, 63, 113]",1,0.7,25,20,0,65,"[200, 275, 400]"
3,"[1, 3, 5]",Leona,"['Cybernetic', 'Vanguard']","[600, 1080, 1944.0000000000002]","[50, 90, 162]","[28, 50, 89]",1,0.55,40,20,50,100,"[40, 80, 200]"
3,"[2, 4, 6]",Lucian,"['Cybernetic', 'Blaster']","[500, 900, 1620]","[50, 90, 162]","[35, 63, 113]",4,0.7,25,20,0,35,"[150, 200, 375]"
3,"[5, 7, 9]",Lulu,"['Celestial', 'Mystic']","[800, 1440, 2592]","[45, 81, 146]","[36, 65, 117]",3,0.8,25,20,75,150,"[2, 4, 12]"
3,"[3, 5, 7]",Lux,"['DarkStar', 'Sorcerer']","[600, 1080, 1944.0000000000002]","[40, 72, 130]","[28, 50, 91]",4,0.7,20,20,50,100,"[200, 300, 600]"
3,"[1, 3, 5]",Malphite,"['Rebel', 'Brawler']","[700, 1260, 2268]","[70, 126, 227]","[35, 63, 114]",1,0.5,30,20,0,0,"[40, 45, 60]"
3,"[3, 5, 7]",MasterYi,"['Rebel', 'Blademaster']","[750, 1350, 2430]","[55, 99, 178]","[47, 84, 151]",1,0.85,30,20,0,55,"[75, 100, 200]"
3,"[5, 7, 9]",MissFortune,"['Valkyrie', 'Mercenary', 'Blaster']","[800, 1440, 2592]","[60, 108, 194]","[60, 108, 194]",4,1.0,20,20,75,175,"[60, 80, 999]"
3,"[4, 6, 8]",MonkeyKing,"['Chrono', 'Vanguard']","[950, 1710, 3078]","[50, 90, 162]","[38, 68, 122]",1,0.75,40,20,50,150,"[300, 500, 4000]"
3,"[2, 4, 6]",Mordekaiser,"['DarkStar', 'Vanguard']","[650, 1170, 2106]","[55, 99, 178]","[33, 59, 107]",1,0.6,40,20,0,90,"[350, 500, 800]"
